Organization,Degree,Specialisation,Year
Indian Institute of Technology (Banaras Hindu University),B.Tech,Comp Sci,1987
Hansraj College,Ph.D,Comp Sci,1982
National Institute of Technology (NITs),B.A,History,2019
Indian Institute of Management (Lucknow),B.Tech,Mechanical,2009
National Law University (NLU),B.A,Psychology,2014
Indian Institutes of Technology (IITs),B.A,Psychology,1991
Loyola College,B.Tech,Mechanical,1992
National Institute of Fashion Technology (NIFT),B.Tech,Electrical,2007
Indian Institute of Technology (Banaras Hindu University),B.Tech,Comp Sci,2021
National Institute of Technology (NITs),B.A,English,2015
Indian Statistical Institute (ISI),B.Pharm,Medicine,2021
All India Institute of Medical Sciences (AIIMS),Ph.D,History,1995
Tata Institute of Social Sciences (TISS),Ph.D,History,1987
Jawaharlal Nehru University (JNU),Ph.D,Manu,1984
Indian Institute of Management (Kolkata),B.Tech,Civil,1982
Indian Institute of Management (Kozhikode),B.Pharm,Medicine,2012
Lady Shri Ram College for Women (LSR),B.A,Psychology,2001
Xavier Labour Relations Institute (XLRI),B.A,Psychology,2022
Lady Shri Ram College for Women (LSR),Ph.D,Electrical,2019
Indian Institute of Management (Lucknow),B.A,Sociology,2005
Birla Institute of Technology and Science (BITS Pilani),B.A,History,1983
Indian Institute of Foreign Trade (IIFT),B.Pharm,Medicine,1981
Tata Institute of Social Sciences (TISS),M.Tech,Civil,2013
Indian Institute of Technology (Banaras Hindu University),BE,Mechanical,2011
Indian Statistical Institute (ISI),B.Tech,Electrical,1981
Indian Institute of Technology (Bhubaneswar),BE,Manu,1985
Indian Institute of Management (Kolkata),B.Tech,Civil,2010
Indian Institute of Technology (Banaras Hindu University),BE,Comp Sci,2014
Indian Institute of Technology (Bombay),B.Tech,Civil,2004
Indian Institute of Management (Ahmedabad),M.Tech,Electrical,1997
Loyola College,BE,Comp Sci,2008
Indian Institute of Technology (Guwahati),M.Tech,Civil,1998
Indian Institute of Technology (Madras),B.A,Psychology,2020
Indian Institute of Science Education and Research (IISER),Ph.D,English,1985
Indian Institute of Science (IISc),B.Pharm,Medicine,1980
All India Institute of Medical Sciences (AIIMS),Ph.D,Medicine,2001
Indian Institute of Science (IISc),BE,Comp Sci,1995
Indian Statistical Institute (ISI),B.Tech,Electrical,2012
Delhi Technological University (DTU),B.A,History,2009
Aligarh Muslim University (AMU),BE,Manu,1997
National Institute of Technology (Jaipur),B.Pharm,Medicine,1994
Manipal Academy of Higher Education,M.Tech,Civil,2011
Indian Institute of Management (Lucknow),B.Tech,Electrical,2022
Christ University,B.Tech,Comp Sci,1993
Indian Institutes of Management (IIMs),BE,Civil,2021
National Institute of Technology (Warangal),B.Tech,Manu,2012
Banaras Hindu University (BHU),B.Pharm,Medicine,2013
Hansraj College,BE,Manu,2015
Banaras Hindu University (BHU),B.Tech,Mechanical,2001
Symbiosis International University,M.Tech,Civil,2013
Birla Institute of Technology and Science (BITS Pilani),B.Tech,Electrical,1988
Manipal Academy of Higher Education,Ph.D,Civil,2020
Indian Institute of Technology (Madras),M.Tech,Comp Sci,2013
Indian Institute of Technology (Kanpur),M.Tech,Comp Sci,1991
Lady Shri Ram College for Women (LSR),B.Pharm,Medicine,1997
Christ University,B.A,Psychology,2016
Indian Statistical Institute (ISI),BE,Comp Sci,2014
Lady Shri Ram College for Women (LSR),M.Tech,Electrical,2019
Hansraj College,BE,Mechanical,1995
Indian Institutes of Technology (IITs),B.Pharm,Medicine,2022
National Institute of Technology (NITs),B.Tech,Mechanical,2004
Lady Shri Ram College for Women (LSR),M.Tech,Comp Sci,2013
Indian Institute of Management (Kozhikode),B.A,English,2018
National Institute of Technology (NITs),B.Pharm,Medicine,1986
Tata Institute of Social Sciences (TISS),M.Tech,Electrical,1995
Presidency University,Ph.D,Mechanical,2009
Xavier Labour Relations Institute (XLRI),B.Tech,Manu,2005
Banaras Hindu University (BHU),B.Tech,Manu,1998
National Institute of Fashion Technology (NIFT),B.A,History,2014
National Institute of Fashion Technology (NIFT),BE,Comp Sci,1982
Tata Institute of Social Sciences (TISS),Ph.D,Sociology,2004
Presidency University,Ph.D,Sociology,2011
Indian Institute of Science (IISc),B.Tech,Civil,1987
Aligarh Muslim University (AMU),B.Pharm,Medicine,2006
Indian Institute of Management (Kolkata),M.Tech,Comp Sci,2006
National Institute of Fashion Technology (NIFT),M.Tech,Electrical,1980
Miranda House,B.Pharm,Medicine,2015
Indian Institute of Technology (Bombay),Ph.D,Psychology,2015
Indian Institute of Technology (Bombay),Ph.D,English,2014
National Institute of Technology (Warangal),Ph.D,History,1984
Aligarh Muslim University (AMU),B.Tech,Electrical,2015
Lady Shri Ram College for Women (LSR),B.Pharm,Medicine,1985
Indian Institute of Technology (Delhi),B.Tech,Civil,1982
Indian Statistical Institute (ISI),Ph.D,Psychology,1990
National Institute of Technology (Surathkal),BE,Mechanical,2015
Hansraj College,Ph.D,History,2012
Indian Institute of Management (Ahmedabad),B.A,Sociology,1983
Xavier Labour Relations Institute (XLRI),B.Pharm,Medicine,1998
Indian Institute of Technology (Banaras Hindu University),BE,Manu,1994
National Law University (NLU),Ph.D,Electrical,2019
National Institute of Technology (Surathkal),B.Tech,Comp Sci,1993
Miranda House,BE,Electrical,2004
Indian Institute of Science Education and Research (IISER),B.Pharm,Medicine,1993
Presidency University,M.Tech,Manu,1986
National Institute of Technology (Warangal),B.Pharm,Medicine,2021
Indian Institutes of Technology (IITs),B.A,Sociology,1989
Indian Institute of Technology (Bhubaneswar),M.Tech,Manu,2008
Indian Statistical Institute (ISI),B.A,Sociology,2022
Indian Institute of Management (Indore),B.A,English,2016
Indian Institute of Management (Lucknow),BE,Manu,1982
Delhi Technological University (DTU),B.A,Sociology,2006
Loyola College,B.A,History,2015
Indian Institutes of Technology (IITs),M.Tech,Comp Sci,2014
National Institute of Technology (Calicut),M.Tech,Mechanical,1980
Miranda House,Ph.D,Comp Sci,2021
Indian Institute of Foreign Trade (IIFT),M.Tech,Electrical,2020
National Institute of Technology (Jaipur),BE,Civil,2000
Indian Institute of Technology (Roorkee),Ph.D,Electrical,2018
Lady Shri Ram College for Women (LSR),M.Tech,Mechanical,2021
Indian School of Business (ISB),M.Tech,Electrical,2007
Indian Institute of Management (Ahmedabad),M.Tech,Electrical,2000
Hansraj College,M.Tech,Manu,1991
Indian School of Business (ISB),B.A,Psychology,1984
Indian Institutes of Management (IIMs),B.Tech,Civil,1981
National Institute of Technology (Trichy),M.Tech,Manu,2001
National Law School of India University (NLSIU),B.A,Psychology,2021
Tata Institute of Social Sciences (TISS),B.Tech,Manu,2021
Indian School of Business (ISB),B.Tech,Electrical,1988
Indian Institute of Technology (Bhubaneswar),Ph.D,Mechanical,1995
Loyola College,Ph.D,Comp Sci,1982
Tata Institute of Social Sciences (TISS),B.Pharm,Medicine,1983
National Institute of Technology (NITs),Ph.D,Comp Sci,1994
Loyola College,B.A,History,1996
National Institute of Technology (NITs),BE,Electrical,2010
Loyola College,B.Pharm,Medicine,2022
St. Stephen's College,B.A,Sociology,2003
Miranda House,Ph.D,Comp Sci,1983
Indian Institute of Science (IISc),BE,Mechanical,1981
Aligarh Muslim University (AMU),B.Pharm,Medicine,2007
Indian Institutes of Technology (IITs),B.A,Psychology,2013
National Institute of Technology (Jaipur),M.Tech,Comp Sci,1985
Indian Institutes of Technology (IITs),B.Tech,Manu,1985
Indian Institute of Foreign Trade (IIFT),B.A,Sociology,2006
Indian Statistical Institute (ISI),Ph.D,Electrical,1989
Jawaharlal Nehru University (JNU),B.Tech,Comp Sci,1982
Indian Institute of Management (Kolkata),B.A,Sociology,2003
National Law University (NLU),B.A,English,2000
Indian Institute of Management (Kozhikode),B.A,English,1985
Indian Institute of Technology (Bombay),B.Tech,Comp Sci,2015
Banaras Hindu University (BHU),B.A,Sociology,2010
Indian Institute of Management (Ahmedabad),B.Pharm,Medicine,2020
Indian Institute of Technology (Guwahati),BE,Electrical,2010
Indian Institute of Management (Lucknow),BE,Manu,1998
Indian Institutes of Management (IIMs),B.Pharm,Medicine,1995
National Institute of Technology (Jaipur),B.Tech,Mechanical,2020
Indian Institute of Technology (Roorkee),B.Tech,Mechanical,2007
Indian Institutes of Management (IIMs),M.Tech,Civil,2011
Indian Statistical Institute (ISI),BE,Manu,2015
Indian Institute of Management (Kolkata),M.Tech,Comp Sci,2008
Indian Institute of Technology (Delhi),Ph.D,Civil,1993
Indian Institute of Management (Kolkata),M.Tech,Civil,1989
Indian Institute of Management (Kozhikode),B.A,Sociology,2000
Indian Institute of Management (Lucknow),Ph.D,Sociology,2000
All India Institute of Medical Sciences (AIIMS),Ph.D,Psychology,2013
Indian Institute of Management (Ahmedabad),B.Tech,Manu,1998
National Law University (NLU),M.Tech,Manu,2013
St. Stephen's College,Ph.D,Psychology,2002
Lady Shri Ram College for Women (LSR),Ph.D,Civil,1985
Banaras Hindu University (BHU),B.Tech,Comp Sci,1989
Birla Institute of Technology and Science (BITS Pilani),B.Tech,Mechanical,2016
Indian Institute of Management (Indore),B.A,Psychology,1980
Indian Institutes of Technology (IITs),B.A,Sociology,2010
National Institute of Technology (Calicut),B.Pharm,Medicine,2020
Indian Institute of Technology (Kanpur),BE,Electrical,2008
National Institute of Technology (NITs),Ph.D,Sociology,1981
Indian Institute of Technology (Delhi),B.Pharm,Medicine,2015
National Institute of Fashion Technology (NIFT),Ph.D,Mechanical,1986
National Law School of India University (NLSIU),BE,Civil,1987
National Institute of Technology (Jaipur),B.Pharm,Medicine,1995
Indian Institute of Technology (Madras),Ph.D,Manu,2004
Miranda House,B.A,Psychology,1985
Aligarh Muslim University (AMU),BE,Electrical,2014
Indian Institute of Management (Indore),B.Pharm,Medicine,2006
Banaras Hindu University (BHU),M.Tech,Electrical,2008
Indian Institute of Technology (Guwahati),BE,Comp Sci,1980
Hansraj College,BE,Mechanical,2001
Manipal Academy of Higher Education,B.Tech,Comp Sci,1998
Indian Institute of Management (Ahmedabad),M.Tech,Electrical,2000
Birla Institute of Technology and Science (BITS Pilani),Ph.D,Sociology,1987
Indian Institute of Technology (Banaras Hindu University),B.A,Sociology,1992
Manipal Academy of Higher Education,Ph.D,Medicine,2010
Indian School of Business (ISB),BE,Electrical,1983
Indian Institute of Foreign Trade (IIFT),BE,Mechanical,1982
Indian Statistical Institute (ISI),B.Tech,Comp Sci,2012
Banaras Hindu University (BHU),B.A,Sociology,2022
Indian Institute of Management (Kozhikode),BE,Comp Sci,2008
Christ University,BE,Manu,1984
Indian Institute of Technology (Roorkee),Ph.D,Civil,2009
National Institute of Technology (Calicut),B.Pharm,Medicine,2000
National Institute of Technology (NITs),Ph.D,Comp Sci,2004
National Law School of India University (NLSIU),B.A,History,2003
Christ University,BE,Electrical,2019
Lady Shri Ram College for Women (LSR),M.Tech,Mechanical,1996
Indian Institute of Technology (Banaras Hindu University),B.Pharm,Medicine,1993
Indian Statistical Institute (ISI),M.Tech,Comp Sci,1995
Aligarh Muslim University (AMU),M.Tech,Civil,1981
Indian Institute of Management (Kolkata),B.Pharm,Medicine,2018
Aligarh Muslim University (AMU),B.Pharm,Medicine,1997
Indian Institute of Management (Ahmedabad),B.A,Psychology,1996
Indian Institute of Technology (Bhubaneswar),B.A,English,2013
Indian Institute of Science (IISc),B.Tech,Electrical,1997
St. Stephen's College,B.A,History,2010
Manipal Academy of Higher Education,M.Tech,Mechanical,2010
Indian Institute of Technology (Kanpur),B.A,Psychology,2015
Banaras Hindu University (BHU),M.Tech,Mechanical,1980
Indian Institutes of Technology (IITs),BE,Comp Sci,1996
Indian Statistical Institute (ISI),B.Pharm,Medicine,1980
All India Institute of Medical Sciences (AIIMS),BE,Comp Sci,1988
National Law University (NLU),B.A,English,1991
Indian Statistical Institute (ISI),BE,Comp Sci,2007
Indian Institute of Technology (Banaras Hindu University),M.Tech,Mechanical,2004
Jawaharlal Nehru University (JNU),B.Tech,Comp Sci,2008
National Institute of Design (NID),B.Tech,Civil,2001
Indian Institute of Science Education and Research (IISER),B.Pharm,Medicine,2007
Indian Institute of Technology (Guwahati),Ph.D,Psychology,2009
St. Stephen's College,B.Tech,Civil,1981
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,1994
Indian Institute of Management (Ahmedabad),B.Pharm,Medicine,2016
Indian Institutes of Management (IIMs),M.Tech,Civil,2005
National Institute of Fashion Technology (NIFT),B.A,History,2020
National Institute of Design (NID),B.Tech,Comp Sci,1990
Miranda House,B.A,History,2014
National Institute of Technology (NITs),B.Pharm,Medicine,2000
Hansraj College,Ph.D,English,2016
National Institute of Technology (Warangal),Ph.D,History,2013
Indian Institute of Technology (Bombay),B.A,Psychology,1996
Indian Institutes of Technology (IITs),M.Tech,Mechanical,1987
Christ University,B.Pharm,Medicine,2011
National Institute of Technology (Calicut),B.A,Sociology,2012
Loyola College,M.Tech,Electrical,1988
Delhi Technological University (DTU),M.Tech,Electrical,1998
National Institute of Technology (Jaipur),B.Tech,Mechanical,1989
All India Institute of Medical Sciences (AIIMS),M.Tech,Mechanical,1988
Jawaharlal Nehru University (JNU),B.Pharm,Medicine,2018
Birla Institute of Technology and Science (BITS Pilani),B.A,Psychology,1983
National Law University (NLU),B.Pharm,Medicine,2010
National Institute of Technology (Calicut),Ph.D,Manu,2016
Indian Institute of Management (Indore),M.Tech,Mechanical,2006
Xavier Labour Relations Institute (XLRI),B.Tech,Mechanical,1995
Banaras Hindu University (BHU),B.A,Psychology,1998
Presidency University,B.Tech,Comp Sci,1989
Indian Institute of Technology (Delhi),B.A,English,1986
Indian Institute of Management (Indore),B.A,History,2018
Loyola College,B.Pharm,Medicine,2007
Indian Institute of Management (Kozhikode),B.Tech,Electrical,2001
Indian Institute of Management (Indore),B.A,English,2002
Indian Institute of Foreign Trade (IIFT),B.Pharm,Medicine,1987
Indian Statistical Institute (ISI),Ph.D,Civil,2012
Indian Institute of Technology (Delhi),M.Tech,Mechanical,2015
National Institute of Technology (Calicut),M.Tech,Electrical,2009
Indian Statistical Institute (ISI),B.Tech,Comp Sci,1983
Indian Statistical Institute (ISI),BE,Mechanical,2005
St. Stephen's College,M.Tech,Mechanical,2004
Banaras Hindu University (BHU),M.Tech,Mechanical,2022
National Law University (NLU),M.Tech,Civil,1983
Indian Institute of Management (Kolkata),M.Tech,Manu,2005
Indian Institute of Management (Ahmedabad),B.A,English,1982
All India Institute of Medical Sciences (AIIMS),B.Tech,Mechanical,2015
Indian Institute of Technology (Roorkee),B.Tech,Comp Sci,2009
Christ University,B.Pharm,Medicine,2016
National Institute of Technology (NITs),B.A,Psychology,1984
Aligarh Muslim University (AMU),M.Tech,Manu,2009
Indian Statistical Institute (ISI),B.Tech,Civil,2013
Indian Institute of Management (Lucknow),B.Tech,Comp Sci,2007
Indian Institute of Foreign Trade (IIFT),B.A,Sociology,1989
Indian Statistical Institute (ISI),B.Pharm,Medicine,1995
Indian School of Business (ISB),B.Pharm,Medicine,1983
Manipal Academy of Higher Education,B.Pharm,Medicine,1991
Indian Institute of Foreign Trade (IIFT),B.A,English,2022
National Institute of Technology (Calicut),B.Tech,Manu,1993
Banaras Hindu University (BHU),B.A,English,2021
National Institute of Technology (Trichy),Ph.D,Electrical,1989
Loyola College,B.Tech,Civil,1988
Indian Institutes of Management (IIMs),B.A,History,2020
Indian Institute of Management (Indore),B.Tech,Manu,1999
Indian Institute of Technology (Bhubaneswar),BE,Mechanical,1998
Indian Institute of Technology (Delhi),B.Tech,Mechanical,1997
Indian Institute of Technology (Madras),B.Pharm,Medicine,2003
National Institute of Technology (Trichy),BE,Civil,1995
National Institute of Technology (NITs),Ph.D,Civil,2004
Xavier Labour Relations Institute (XLRI),M.Tech,Civil,1996
Symbiosis International University,Ph.D,Medicine,2011
Aligarh Muslim University (AMU),B.Tech,Manu,1986
Miranda House,BE,Electrical,2010
Indian Institutes of Management (IIMs),Ph.D,History,1993
Indian Institute of Management (Ahmedabad),B.Pharm,Medicine,1998
National Institute of Fashion Technology (NIFT),M.Tech,Electrical,1999
Aligarh Muslim University (AMU),B.Tech,Civil,1990
Aligarh Muslim University (AMU),Ph.D,Manu,1984
National Institute of Technology (Warangal),M.Tech,Mechanical,1991
Indian Institute of Science (IISc),M.Tech,Electrical,2000
Hansraj College,BE,Civil,1987
Birla Institute of Technology and Science (BITS Pilani),B.A,History,2013
Presidency University,Ph.D,Manu,2003
St. Stephen's College,BE,Civil,1990
Indian Institute of Technology (Bhubaneswar),BE,Mechanical,1988
Indian Institute of Technology (Madras),Ph.D,Psychology,1980
Indian Institute of Management (Ahmedabad),BE,Manu,1994
Jawaharlal Nehru University (JNU),B.Pharm,Medicine,1988
All India Institute of Medical Sciences (AIIMS),BE,Mechanical,1984
Banaras Hindu University (BHU),Ph.D,Electrical,1993
Aligarh Muslim University (AMU),B.Pharm,Medicine,2022
Delhi Technological University (DTU),B.Pharm,Medicine,1986
Indian Institutes of Technology (IITs),M.Tech,Comp Sci,2000
Birla Institute of Technology and Science (BITS Pilani),Ph.D,Manu,2016
Presidency University,BE,Civil,2012
All India Institute of Medical Sciences (AIIMS),Ph.D,Comp Sci,1985
Hansraj College,B.Tech,Manu,1998
Indian Institute of Technology (Bombay),M.Tech,Civil,1991
Indian Institute of Technology (Banaras Hindu University),B.A,Psychology,2013
National Institute of Technology (Warangal),B.A,Psychology,1980
National Institute of Technology (Trichy),B.Tech,Mechanical,2005
Loyola College,Ph.D,Mechanical,1997
Birla Institute of Technology and Science (BITS Pilani),M.Tech,Mechanical,1994
Presidency University,Ph.D,Sociology,2003
National Institute of Technology (Warangal),M.Tech,Comp Sci,1980
National Institute of Technology (Calicut),B.Pharm,Medicine,1991
Tata Institute of Social Sciences (TISS),B.Tech,Manu,1988
Manipal Academy of Higher Education,BE,Comp Sci,2008
Indian Institute of Technology (Kanpur),B.Tech,Comp Sci,2017
Delhi Technological University (DTU),M.Tech,Comp Sci,2019
Loyola College,Ph.D,Medicine,1998
Indian Institute of Management (Kozhikode),M.Tech,Mechanical,1988
Tata Institute of Social Sciences (TISS),B.Pharm,Medicine,2003
Indian Institute of Technology (Bombay),M.Tech,Mechanical,1996
National Institute of Technology (Trichy),Ph.D,Medicine,1990
National Institute of Design (NID),M.Tech,Mechanical,1986
Indian Institute of Technology (Bhubaneswar),BE,Civil,1987
National Institute of Technology (Surathkal),BE,Comp Sci,2007
Indian Institute of Science (IISc),M.Tech,Mechanical,2001
Loyola College,B.Pharm,Medicine,1983
National Institute of Technology (Warangal),B.A,History,1983
Indian Institutes of Technology (IITs),BE,Manu,2005
Indian School of Business (ISB),M.Tech,Civil,1999
Indian Statistical Institute (ISI),B.Pharm,Medicine,2006
Loyola College,B.A,English,1989
National Institute of Technology (Trichy),B.Tech,Electrical,1980
National Law University (NLU),BE,Electrical,2016
Xavier Labour Relations Institute (XLRI),B.A,History,1999
Manipal Academy of Higher Education,BE,Civil,2008
Jawaharlal Nehru University (JNU),BE,Civil,2016
Manipal Academy of Higher Education,Ph.D,Medicine,2017
Indian Institute of Management (Kolkata),BE,Comp Sci,2003
National Institute of Technology (Surathkal),M.Tech,Comp Sci,1993
Christ University,M.Tech,Mechanical,2021
Indian Institute of Technology (Guwahati),B.A,Sociology,2018
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,1980
Indian Institute of Technology (Bhubaneswar),B.Pharm,Medicine,1988
Indian Institute of Technology (Banaras Hindu University),B.Pharm,Medicine,1986
National Institute of Technology (Jaipur),BE,Comp Sci,2010
National Institute of Fashion Technology (NIFT),Ph.D,Mechanical,2017
Christ University,M.Tech,Electrical,2022
Xavier Labour Relations Institute (XLRI),B.Tech,Manu,2001
National Law University (NLU),M.Tech,Comp Sci,2012
Lady Shri Ram College for Women (LSR),Ph.D,Civil,2011
Indian Institute of Technology (Banaras Hindu University),Ph.D,Electrical,1996
Indian Institutes of Technology (IITs),B.Tech,Electrical,1989
Indian Institutes of Technology (IITs),B.A,Sociology,1993
Indian Institute of Management (Indore),B.Pharm,Medicine,1980
Xavier Labour Relations Institute (XLRI),Ph.D,Electrical,1990
Indian Institute of Management (Ahmedabad),Ph.D,English,2015
Delhi Technological University (DTU),B.Tech,Manu,2006
National Institute of Technology (NITs),B.Pharm,Medicine,1988
Indian Institutes of Management (IIMs),M.Tech,Electrical,2000
Indian Institute of Management (Lucknow),B.Pharm,Medicine,2011
Loyola College,B.Pharm,Medicine,1989
Indian Institute of Technology (Banaras Hindu University),M.Tech,Civil,1984
National Law University (NLU),Ph.D,Medicine,1998
Indian Institute of Technology (Delhi),B.Pharm,Medicine,2017
Indian Institutes of Technology (IITs),M.Tech,Mechanical,2016
Indian Institute of Technology (Bombay),M.Tech,Comp Sci,2010
Symbiosis International University,B.A,History,1989
Birla Institute of Technology and Science (BITS Pilani),BE,Comp Sci,1984
Indian Institute of Technology (Kanpur),B.A,English,2001
Indian Institute of Management (Lucknow),BE,Civil,1985
Tata Institute of Social Sciences (TISS),Ph.D,Comp Sci,2016
Miranda House,B.Tech,Manu,2009
Indian Institute of Technology (Kanpur),B.Pharm,Medicine,1997
St. Stephen's College,Ph.D,Psychology,2005
Indian Institute of Technology (Kanpur),Ph.D,Mechanical,1995
Indian Institutes of Management (IIMs),Ph.D,Comp Sci,2016
Miranda House,B.A,Sociology,2008
Loyola College,B.Tech,Electrical,1992
National Institute of Technology (Warangal),Ph.D,Mechanical,2021
Indian Institute of Technology (Madras),B.A,Sociology,2011
Indian Institute of Management (Indore),M.Tech,Mechanical,2018
National Institute of Technology (Surathkal),B.Pharm,Medicine,1994
Indian School of Business (ISB),B.Tech,Electrical,2006
All India Institute of Medical Sciences (AIIMS),Ph.D,Electrical,1991
Indian Institute of Technology (Madras),B.Tech,Civil,1983
All India Institute of Medical Sciences (AIIMS),B.Pharm,Medicine,1999
Symbiosis International University,B.Pharm,Medicine,2016
Indian School of Business (ISB),M.Tech,Civil,2016
Indian Institute of Management (Kolkata),B.A,Psychology,2005
National Institute of Technology (Surathkal),M.Tech,Electrical,1999
National Law School of India University (NLSIU),BE,Civil,1983
St. Stephen's College,B.Pharm,Medicine,1995
Tata Institute of Social Sciences (TISS),B.Tech,Comp Sci,1982
Manipal Academy of Higher Education,BE,Civil,1995
Aligarh Muslim University (AMU),B.A,History,2004
Manipal Academy of Higher Education,B.Tech,Mechanical,1996
St. Stephen's College,B.Tech,Mechanical,1997
Symbiosis International University,M.Tech,Comp Sci,2015
National Institute of Fashion Technology (NIFT),B.A,English,1993
Indian Institutes of Technology (IITs),B.Pharm,Medicine,2001
All India Institute of Medical Sciences (AIIMS),B.Tech,Mechanical,1989
National Law School of India University (NLSIU),B.A,English,2020
Indian Institute of Management (Kozhikode),M.Tech,Comp Sci,2022
Indian Institute of Technology (Roorkee),B.Tech,Manu,2020
Presidency University,B.Tech,Mechanical,2000
National Institute of Technology (Warangal),B.Tech,Electrical,1988
Indian Institutes of Management (IIMs),Ph.D,Manu,1991
National Institute of Design (NID),B.Pharm,Medicine,1992
Indian Institute of Science Education and Research (IISER),B.Tech,Comp Sci,2001
National Institute of Technology (Warangal),BE,Manu,2012
Indian Institute of Technology (Roorkee),B.Pharm,Medicine,2014
Banaras Hindu University (BHU),B.Tech,Manu,1987
National Institute of Fashion Technology (NIFT),BE,Civil,1981
National Institute of Design (NID),B.A,English,2012
Indian Institute of Technology (Roorkee),B.Pharm,Medicine,2008
Indian Institute of Foreign Trade (IIFT),B.Tech,Comp Sci,1983
National Institute of Design (NID),B.Pharm,Medicine,2008
Indian Institute of Management (Lucknow),B.A,History,2006
Tata Institute of Social Sciences (TISS),B.Pharm,Medicine,2001
Indian Institute of Management (Kozhikode),M.Tech,Manu,1997
Indian Statistical Institute (ISI),M.Tech,Mechanical,2017
Indian Institute of Management (Kolkata),BE,Comp Sci,1987
National Institute of Technology (NITs),B.Tech,Mechanical,2012
National Institute of Design (NID),B.Tech,Civil,2012
Symbiosis International University,BE,Comp Sci,2000
Indian Institute of Technology (Roorkee),Ph.D,Manu,2007
National Institute of Technology (Warangal),B.Tech,Electrical,2010
Indian Statistical Institute (ISI),B.A,History,1998
Indian Institute of Technology (Kanpur),B.A,Psychology,2011
Indian Institute of Technology (Bhubaneswar),M.Tech,Mechanical,1989
National Institute of Technology (Trichy),B.Tech,Comp Sci,2006
Indian Institute of Technology (Bhubaneswar),M.Tech,Comp Sci,1985
Xavier Labour Relations Institute (XLRI),B.Pharm,Medicine,2002
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,2002
Indian Institutes of Management (IIMs),B.Pharm,Medicine,1981
Indian Institutes of Management (IIMs),B.Pharm,Medicine,2002
All India Institute of Medical Sciences (AIIMS),Ph.D,Medicine,1990
Banaras Hindu University (BHU),B.A,Sociology,2020
Miranda House,B.Pharm,Medicine,1998
Indian Institute of Technology (Roorkee),M.Tech,Manu,2010
Miranda House,B.Pharm,Medicine,2019
National Institute of Design (NID),BE,Mechanical,1992
Indian Statistical Institute (ISI),BE,Comp Sci,1993
National Institute of Technology (Calicut),B.Tech,Mechanical,2009
Manipal Academy of Higher Education,B.Tech,Civil,1993
Indian Institute of Foreign Trade (IIFT),BE,Mechanical,1986
Indian Institute of Technology (Kanpur),B.A,Sociology,2005
Indian Institute of Management (Lucknow),B.A,Psychology,2009
Indian Institute of Foreign Trade (IIFT),Ph.D,Mechanical,2016
Aligarh Muslim University (AMU),B.A,Psychology,2007
Loyola College,B.Tech,Manu,2004
Indian Institute of Management (Indore),B.A,English,2010
National Institute of Technology (Jaipur),BE,Manu,2009
Indian Institute of Technology (Bombay),B.Tech,Civil,1997
Indian Institute of Technology (Bhubaneswar),M.Tech,Mechanical,2010
Symbiosis International University,Ph.D,Electrical,2001
Loyola College,B.A,English,2002
Indian Institute of Technology (Bhubaneswar),B.Tech,Mechanical,2021
National Institute of Technology (Calicut),M.Tech,Electrical,2018
Presidency University,B.Tech,Comp Sci,1981
Indian Institute of Technology (Madras),BE,Civil,1983
Loyola College,B.A,History,1990
National Institute of Technology (Warangal),Ph.D,Sociology,1985
Indian Institutes of Management (IIMs),M.Tech,Comp Sci,2005
National Institute of Technology (Jaipur),Ph.D,Mechanical,2008
Indian Statistical Institute (ISI),B.A,Psychology,2012
Hansraj College,Ph.D,Medicine,2000
Jawaharlal Nehru University (JNU),M.Tech,Civil,2004
Tata Institute of Social Sciences (TISS),Ph.D,Psychology,2005
Indian Institute of Management (Ahmedabad),M.Tech,Electrical,2002
Symbiosis International University,M.Tech,Electrical,2016
National Law School of India University (NLSIU),B.Pharm,Medicine,2015
Hansraj College,Ph.D,Sociology,2006
Indian Institutes of Management (IIMs),Ph.D,Electrical,2011
Hansraj College,B.Pharm,Medicine,2022
National Institute of Fashion Technology (NIFT),Ph.D,Manu,1994
National Institute of Technology (Warangal),B.A,History,1983
Banaras Hindu University (BHU),B.A,English,2017
National Institute of Technology (Surathkal),B.Tech,Civil,2001
National Institute of Technology (Surathkal),M.Tech,Civil,1981
National Institute of Technology (Trichy),BE,Manu,1996
Presidency University,B.Pharm,Medicine,2000
Indian Institute of Technology (Madras),M.Tech,Manu,2000
National Institute of Technology (NITs),B.Pharm,Medicine,1988
Indian Institute of Technology (Kanpur),B.Pharm,Medicine,2001
Indian Institute of Science (IISc),B.Pharm,Medicine,1984
Lady Shri Ram College for Women (LSR),BE,Comp Sci,1993
National Institute of Technology (Jaipur),M.Tech,Manu,1994
Indian Institute of Foreign Trade (IIFT),Ph.D,Mechanical,1982
Xavier Labour Relations Institute (XLRI),B.A,History,2018
Miranda House,Ph.D,History,2014
National Institute of Technology (Warangal),Ph.D,Comp Sci,1980
Indian Institute of Management (Lucknow),B.A,History,1997
Christ University,B.Pharm,Medicine,1991
Indian Institute of Technology (Kanpur),Ph.D,English,2008
Jawaharlal Nehru University (JNU),B.Pharm,Medicine,1980
Indian Institute of Technology (Guwahati),B.Pharm,Medicine,2021
